attendance_pct,study_hours,internal_marks,assignments_submitted,participation_score,passed
69.1,3.92,40.0,4,2,1
53.0,1.94,33.0,3,2,1
79.4,0.44,38.0,5,1,1
78.9,4.12,25.0,7,3,1
75.1,2.36,42.0,5,2,1
71.5,3.99,34.0,3,1,1
53.8,0.59,31.0,5,2,1
68.7,1.78,43.0,7,1,1
69.9,2.51,29.0,7,1,1
63.0,2.56,24.0,3,3,1
72.6,1.96,23.0,7,1,1
81.1,3.25,40.0,4,2,1
100.0,1.22,25.0,2,3,1
77.6,2.33,49.0,5,2,1
78.9,2.64,18.0,3,0,1
73.9,3.12,49.0,3,1,1
46.2,3.35,37.0,3,0,1
74.6,1.15,34.0,4,2,1
75.9,0.66,31.0,1,2,1
100.0,4.03,38.0,3,1,1
72.1,2.9,35.0,7,3,1
79.5,1.6,44.0,3,2,1
74.5,4.36,36.0,5,1,1
57.5,2.64,36.0,2,2,1
92.1,3.92,32.0,3,2,1
86.3,2.58,35.0,1,0,1
86.9,4.97,37.0,5,1,1
61.4,4.61,21.0,4,3,1
96.0,2.2,24.0,3,2,1
54.0,3.67,41.0,7,2,1
83.8,3.27,36.0,4,2,1
100.0,4.14,34.0,7,0,1
60.1,1.34,35.0,5,1,1
66.5,3.32,38.0,2,2,1
76.5,3.77,31.0,1,1,1
67.4,0.39,29.0,6,0,1
51.7,1.08,37.0,2,3,1
76.0,0.05,27.0,3,3,1
59.1,2.18,38.0,3,2,1
82.1,3.36,21.0,3,3,1
61.2,4.3,43.0,4,1,1
98.2,2.59,39.0,9,3,1
63.3,4.45,37.0,4,1,1
70.2,0.84,43.0,4,3,1
87.2,0.46,48.0,7,3,1
56.5,2.43,43.0,7,2,1
78.4,2.96,20.0,4,3,1
94.6,2.46,25.0,3,2,1
50.9,0.02,30.0,6,1,0
77.8,2.39,35.0,6,2,1
78.9,0.93,39.0,0,2,1
86.7,3.3,29.0,3,0,1
56.4,2.94,36.0,5,2,1
55.2,1.37,29.0,4,3,1
82.8,1.88,30.0,3,1,1
79.5,1.23,24.0,3,2,1
78.8,2.42,28.0,7,3,1
80.2,3.65,24.0,3,3,1
64.8,1.32,27.0,3,3,1
78.5,3.1,43.0,3,2,1
79.4,1.86,27.0,6,3,1
64.3,1.55,50.0,3,2,1
100.0,2.37,39.0,6,1,1
82.1,1.26,36.0,2,2,1
57.1,1.84,28.0,7,2,1
84.8,1.06,41.0,4,1,1
60.4,4.86,30.0,4,2,1
86.8,2.54,36.0,1,2,1
92.4,1.66,50.0,5,1,1
62.7,2.76,34.0,6,2,1
89.5,2.37,44.0,1,2,1
81.2,2.23,29.0,5,2,1
87.3,3.24,35.0,5,0,1
100.0,3.41,49.0,1,0,1
71.3,1.86,30.0,3,1,1
63.7,1.81,49.0,4,3,1
61.7,2.17,41.0,1,1,1
62.8,0.0,31.0,2,2,1
73.8,0.68,40.0,4,1,1
80.1,4.14,43.0,4,1,1
79.2,4.47,40.0,5,3,1
87.4,2.2,22.0,5,2,1
75.2,3.19,29.0,1,0,1
96.8,2.87,33.0,4,2,1
71.0,6.19,34.0,3,0,1
100.0,3.84,40.0,3,2,1
84.4,2.35,36.0,6,2,1
62.1,1.35,24.0,3,1,1
58.9,0.57,38.0,3,1,1
82.2,2.74,40.0,2,1,1
71.6,1.59,39.0,6,3,1
85.7,0.79,44.0,4,3,1
82.1,1.72,42.0,3,0,1
73.9,1.2,39.0,4,2,1
62.3,4.52,34.0,5,1,1
52.3,3.56,22.0,6,1,1
68.3,2.49,38.0,7,2,1
87.8,4.28,37.0,4,3,1
78.2,2.59,37.0,4,3,1
56.3,1.47,25.0,6,2,1
77.6,4.33,26.0,3,1,1
80.8,3.15,43.0,4,2,1
61.7,1.26,35.0,6,1,1
77.3,2.27,40.0,6,2,1
75.9,1.45,35.0,3,1,1
57.9,0.84,35.0,2,2,1
80.4,3.61,43.0,8,1,1
83.4,4.79,31.0,4,1,1
91.2,0.82,36.0,4,3,1
90.8,3.18,31.0,4,1,1
54.3,1.72,32.0,1,2,1
60.9,1.92,33.0,10,1,1
82.7,1.79,37.0,6,0,1
82.7,1.46,31.0,1,0,1
82.7,2.56,45.0,8,1,1
100.0,1.5,28.0,6,3,1
83.6,2.82,34.0,3,1,1
92.0,2.44,31.0,0,3,1
89.3,2.21,47.0,4,2,1
84.8,1.41,37.0,5,2,1
70.3,1.81,43.0,2,2,1
86.4,3.41,23.0,2,2,1
63.4,3.1,37.0,4,2,1
71.4,1.33,42.0,3,1,1
67.7,2.62,36.0,7,1,1
76.2,3.4,44.0,7,3,1
100.0,0.5,31.0,3,3,1
47.0,3.15,46.0,7,3,1
85.3,1.7,50.0,1,2,1
50.8,3.18,32.0,2,2,1
67.9,1.58,31.0,3,2,1
91.3,0.33,47.0,3,2,1
76.0,0.55,48.0,2,1,1
58.8,2.56,31.0,0,2,1
64.3,2.81,32.0,1,1,1
85.2,1.41,33.0,3,1,1
64.0,3.27,24.0,4,3,1
78.2,0.51,28.0,3,1,1
75.7,2.42,27.0,5,0,1
65.2,1.05,29.0,6,0,1
100.0,1.72,35.0,3,3,1
84.5,2.56,37.0,2,2,1
44.6,1.47,47.0,3,2,1
77.8,2.04,27.0,3,3,1
65.1,3.71,43.0,3,3,1
87.8,1.81,33.0,6,1,1
63.1,3.5,35.0,7,2,1
73.3,1.14,40.0,2,2,1
82.6,3.14,26.0,4,2,1
88.0,4.23,38.0,3,1,1
57.0,0.0,36.0,6,3,1
70.0,1.54,39.0,8,2,1
67.9,3.19,37.0,5,1,1
65.2,2.26,50.0,4,2,1
100.0,2.95,30.0,1,0,1
81.1,1.78,31.0,2,1,1
56.1,2.6,30.0,5,2,1
88.8,2.31,31.0,5,0,1
100.0,3.9,30.0,3,2,1
90.5,2.81,45.0,1,2,1
52.2,2.91,46.0,1,0,1
67.7,2.01,30.0,4,3,1
94.0,1.91,28.0,8,1,1
64.4,1.98,39.0,3,1,1
81.7,2.97,31.0,6,1,1
86.6,1.99,40.0,1,1,1
61.1,2.85,37.0,4,0,1
74.1,4.99,23.0,4,2,1
30.0,3.55,47.0,6,3,1
59.6,2.11,49.0,1,1,1
71.2,3.94,30.0,7,2,1
56.3,2.01,32.0,2,2,1
99.5,0.05,37.0,5,3,1
53.5,1.29,38.0,6,2,1
68.4,0.26,40.0,7,1,1
77.0,2.08,50.0,5,1,1
96.6,2.52,34.0,4,2,1
53.5,4.51,29.0,5,3,1
92.4,2.89,24.0,5,1,1
75.2,2.24,29.0,3,1,1
60.3,3.5,35.0,1,3,1
81.9,0.0,49.0,4,3,1
78.0,2.78,31.0,8,3,1
66.0,3.43,37.0,3,2,1
76.0,0.73,35.0,2,1,1
69.2,3.87,45.0,4,2,1
76.7,2.91,50.0,3,2,1
84.9,2.0,31.0,3,0,1
98.8,3.26,31.0,2,2,1
56.4,5.22,43.0,5,2,1
100.0,2.72,40.0,5,1,1
45.7,2.8,50.0,4,2,1
72.7,1.95,40.0,3,2,1
83.8,1.48,32.0,7,3,1
79.2,3.5,40.0,4,0,1
65.7,1.47,44.0,3,1,1
71.9,2.59,42.0,0,2,1
67.6,1.93,39.0,2,1,1
66.2,3.07,44.0,3,2,1
87.7,2.9,44.0,3,2,1
80.4,3.75,46.0,5,1,1
64.6,1.89,40.0,4,2,1
88.5,2.18,34.0,5,2,1
79.6,1.33,36.0,7,1,1
87.2,1.97,45.0,3,3,1
84.4,2.95,28.0,5,3,1
